ENCSENTS	DECSENTS
and you . why do you have such a problem staying away , my friend ? did you miss us that much ?	I wanted to get the hell out of Prague before silent Night falls .
what's the gimmick , Yorgi ? that's the part I don't get . you gonna hold the world hostage with your gas bombs ? I didn't think you were dumb enough to go with that hack cliche .	you think I'm after money ? I told you , my friend . anarchy . time for a change . money is good , but for true freedom you have to get rid of the rules themselves .
so all by yourself , you're going to destroy every government ; in the world .	easier than that , buddy . I'll get them to destroy each other . you kill an entire Peace conference , someone is going to have to pay . then our friend Ahab continues down the river to the ocean and begins his world tour . London , Cairo , Beijing ... Pretty soon everyone's involved . these guys bomb those guys , those guys invade these guys . soon the whole world is like your wild West cowboy days . no rules , no law , everybody free to do what they want .
including rape , pillage , murder .	sure , if that's what you want . why not ? it's all human nature . so we just have to launch our baby and wait for the decline and fall of civilization as we know it .
"and here I thought "" anarchy "" was just something cool to put on a Tshirt ."	come on , Xander . you used to stand for something . what happened to you , man ? I thought you'd get it .
you both could have been a part of it . you could have ridden with us into a new day , the dawning of a new age of --	oh just shoot us already . I'm sorry I asked .
what's so damn funny ?	been to any good diners lately ?
who's writing this dude's dialogue ?	he's a pretty good actor , though .
help me with this guy .	it's like you said , every man for himself .
they're all over the place ! what the hell's going on ?	looks like we're in the middle of the drug war .
sit down .	I've been on a plane for twelve hours , I think I'll stand .
my name is Slovo , Czech secret police . when you are here you are under my jurisdiction , you take my orders , you do what I say . if you become any kind of an inconvenience , I'll shoot you .	here we go again .
nice hops .	the corner . anarchy 99 .
Dude , what are you doing here ?	you killed me , remember ? now I have to hide out here with you . where have you been ?
I found something big enough for us to take these guys down with . they've got a of nerve agent they're gonna unleash .	is this what you're looking for ?
"sorry , "" dude "" ."	what's the deal ?
why you dogging me up ?	they came and found me . they said they'd kill me unless I help them . plus they offer me a lot of money . no big deal . these things happen . dump your gun on the floor .
hey , you don't need all this just to go on vacation . unless this ain't for going on vacation ...	I'm through , Xander .
I can see that . why ?	you run around with maniacs jumping motorcycles in the desert , you break 36 bones crashing wave runners and snowboarding off cliffs , all with no health insurance ... It's insane , I can't take it anymore .
I'm having fun , what's the problem ?	"you have all this talent , and you waste it . you won't take a single endorsement deal . meanwhile those other guys have their own video games ! but no , you've got too much "" integrity "" for that ."
French Polynesia ? this wouldn't last us a week in a cheap hotel . do you know how expensive it is down there ?	alright , so I'll get more .
it's not about the money , X ! you never plan for anything . I can't live like that anymore , I need some stability .	well if you're bailing , I guess I'd better give you your surprise now .
what ... ?	I was gonna wait till the islands , but ...
you're serious ?	of course I'm serious . I bought it , didn't I ?
this is so typical . I can't believe you . I've barely seen you for the last three weeks and now this ? are you out of your mind ?	I don't know . I thought this is what you wanted . you want stability , here it is .
you can't just propose to me out of nowhere . you think that's going to solve our problems ? I'm sorry , X. It was a kick for a while , but it's over . you're just not going anywhere .	"you're not exactly "" going anywhere "" yourself ."
hate those Russkie choppers . Rattle- trap pieces of garbage . I'm agent Shavers . Toby Lee Shavers . I'm looking for what's his name . three X' s .	that's would be me .
back off , just go away you Klutz . alright , here's the story . the items in these cases belong to me . I designed them , built them , and was going to use them in the field myself until you showed up .	I stole your beat , huh ? guess you forgot to brown-nose the right people .
is that supposed to be funny ? I'm not laughing . I've worked for ten years to get my shot at being a field agent , funny boy . and ar the last minute I get bumped by you , some reject from the Ozzfest .	why don't you show me some gear before you get hurt .
miniature power cams set in on contact , giving you a sure grip on any surface .	they come in any other styles or colors ?
this is your standard dart gun .	that one I'm real familiar with .
I think I'll hang on to these .	think again , that's government property . you have to sign for everything . I've got one more that wasn't on your list .
from the Beastie Boys collection ?	it's a stakeout suit . it's got food , water , recording gear , anything you need for covert spying . it's all- weather , fire retardant , and if you give this buckle a sharp pull , the whole outfit deploys into a parachute .
you're joking , right ?	now that I've given you the overview , we're going to spend the next couple hours going into extensive operational detail .
nothing . he had two days .	perhaps he is not all he says he is .
what are you doing ?	it all happened so fast . such an unfortunate accident .
what was that for ?	I'd forgotten how exciting it is working together .
you've been so quiet lately , Petra , I thought you no longer cared .	why don't we go below decks and work off some of this adrenaline .
Viktor ! stay the course .	the Peace conference ...
ten is hardly worth the effort . we're talking a lousy million five U.S.	I have Japanese buyers who are looking to move a fleet , if you have the quality of merchandise they're after . and it's a mil two , max .
do you know what a wire transfer is ?	is she for real ? honey , maybe you should quiet down and let the grownups have a conversation .
my goodness , a word with four syllables . I should get some ice before your brain gets too hot .	sure . just chisel some off your heart .
if you got a problem with me , why are we dancing ?	Yorgi asked me to .
